rank,channel_info,influence_score,posts,followers,60_day_eng_rate,total_likes,avg_likes,new_post_avg_like,country
1,cristiano,92,3300,475800000,0.0139,29000000000,8700000,6500000,Spain
2,kyliejenner,91,6900,366200000,0.0162,57400000000,8300000,5900000,United States
3,leomessi,90,890,357300000,0.0124,6000000000,6800000,4400000,Other
4,selenagomez,93,1800,342700000,0.0097,11500000000,6200000,3300000,United States
5,therock,91,6800,334100000,0.002,12500000000,1900000,665300,United States
6,kimkardashian,91,5600,329200000,0.0088,19900000000,3500000,2900000,United States
7,arianagrande,92,5000,327700000,0.012,18400000000,3700000,3900000,United States
8,beyonce,92,2000,272800000,0.0076,7400000000,3600000,2000000,United States
9,khloekardashian,89,4100,268300000,0.0035,9800000000,2400000,926900,United States
10,justinbieber,91,7400,254500000,0.0059,13900000000,1900000,1500000,Canada
11,kendalljenner,90,660,254000000,0.0204,3700000000,5500000,5100000,United States
12,natgeo,91,10000,237000000,0.0007,3000000000,302200,159300,United States
13,nike,90,950,234100000,0.0008,313600000,329000,181800,United States
14,taylorswift,91,530,222200000,0.0101,1300000000,2400000,2300000,United States
15,jlo,89,3200,220400000,0.0062,5300000000,1700000,1400000,United States
16,virat.kohli,87,1400,211800000,0.0096,4900000000,3500000,2000000,Other
17,nickiminaj,90,6400,201600000,0.0053,13500000000,2100000,1000000,United States
18,kourtneykardash,89,4400,195200000,0.0067,7700000000,1800000,1300000,United States
19,mileycyrus,89,1200,181500000,0.0051,1600000000,1300000,913600,Other
20,neymarjr,90,5300,177100000,0.0109,14100000000,2700000,1900000,Brazil
21,katyperry,92,2000,170300000,0.0016,1500000000,715000,265100,Other
22,kevinhart4real,88,8200,152000000,0.0008,4300000000,522000,115200,United States
23,zendaya,87,3500,150700000,0.0317,20600000000,5800000,4800000,United States
24,iamcardib,75,1600,140500000,0.011,5000000000,3100000,1500000,United States
25,ddlovato,88,80,139100000,0.0027,91300000,1100000,363400,United States
26,badgalriri,88,4800,135300000,0.0002,17900000000,3700000,0,United States
27,kingjames,86,2300,130900000,0.0092,4900000000,2100000,1200000,Other
28,theellenshow,87,10000,125100000,0.0007,4200000000,420500,81700,United States
29,realmadrid,90,6900,123400000,0.0048,6800000000,996200,588300,Spain
30,champagnepapi,85,5200,119600000,0.011,9000000000,1700000,1300000,Netherlands
31,chrisbrownofficial,86,7300,118500000,0.0022,3400000000,463200,255900,United States
32,fcbarcelona,90,10000,111400000,0.0064,11600000000,1200000,706300,Other
33,billieeilish,73,690,105200000,0.0502,5900000000,8500000,5200000,Other
34,dualipa,74,1300,85900000,0.0126,2600000000,2100000,1100000,United Kingdom
35,gal_gadot,85,1700,85600000,0.0069,2300000000,1400000,586500,United States
36,vindiesel,88,1800,82300000,0.006,2500000000,1400000,482300,United States
37,nasa,88,3600,81300000,0.0153,4200000000,1200000,1200000,United States
38,priyankachopra,85,3600,81100000,0.01,5600000000,1600000,802900,United States
39,lalalalisa_m,70,870,80900000,0.09,5100000000,5800000,7200000,Other
40,Shakira,88,2000,76100000,0.0041,1900000000,975100,304700,Other
41,snoopdogg,86,10000,75300000,0.0017,2000000000,203700,125800,Other
42,gigihadid,85,3300,75300000,0.0256,8200000000,2500000,1900000,United States
43,davidbeckham,86,1500,74900000,0.0046,1900000000,1200000,340900,United States
44,shraddhakapoor,81,1900,73900000,0.0117,3000000000,1600000,859900,Other
45,victoriassecret,88,2900,73200000,0.0004,423500000,147000,29800,United States
46,k.mbappe,86,1200,72700000,0.0216,2800000000,2500000,1600000,Other
47,nehakakkar,84,2300,70400000,0.0054,3500000000,1500000,370100,India
48,nba,87,12900,70100000,0.0028,4800000000,370800,196900,United States
49,shawnmendes,83,2500,69900000,0.0287,8800000000,3500000,2000000,Canada
50,jennierubyjane,76,860,68900000,0.0836,4400000000,5100000,5700000,Other
51,narendramodi,85,540,68900000,0.0301,1600000000,2900000,2000000,India
52,aliaabhatt,82,1800,68700000,0.0314,3300000000,1800000,2100000,India
53,deepikapadukone,83,260,68400000,0.0223,419000000,1600000,1500000,India
54,tomholland2013,77,1200,67700000,0.1083,6600000000,5400000,7300000,Other
55,ronaldinho,78,2900,67700000,0.0049,2600000000,872900,325700,Brazil
56,emmawatson,87,340,67300000,0.0001,639000000,1900000,0,United States
57,bts.bighitofficial,78,1200,66900000,0.054,4900000000,4100000,3600000,Uruguay
58,katrinakaif,85,1000,66300000,0.0225,1700000000,1700000,1500000,India
59,marvel,82,7000,66200000,0.0051,2300000000,332300,339000,Turkey
60,justintimberlake,87,780,65900000,0.003,470700000,600400,189400,United States
61,camila_cabello,77,2900,65000000,0.0219,5400000000,1900000,1400000,United States
62,willsmith,82,1400,63900000,0.0002,1900000000,1400000,0,United States
63,raffinagita1717,83,17500,63500000,0.0058,6800000000,386900,366600,Indonesia
64,anitta,82,5100,63100000,0.0069,4400000000,855500,426200,United States
65,sooyaaa__,82,830,62900000,0.0943,3800000000,4500000,5900000,Other
66,maluma,84,8200,62800000,0.0112,9800000000,1200000,696300,Colombia
67,akshaykumar,85,1900,62800000,0.0101,2900000000,1500000,624900,Other
68,jacquelinef143,85,2400,62700000,0.0115,2800000000,1100000,718800,India
69,psg,86,10000,61900000,0.0052,5000000000,500500,322200,France
70,roses_are_rosie,82,820,61800000,0.0972,3800000000,4600000,6000000,Other
71,manchesterunited,85,9900,59600000,0.0041,3800000000,381800,241600,United Kingdom
72,anushkasharma,85,1200,59500000,0.0234,2200000000,1900000,1400000,Other
73,whinderssonnunes,79,2700,58700000,0.0058,4400000000,1600000,323100,Brazil
74,9gag,86,10000,58100000,0.0044,6700000000,672600,248600,United States
75,marcelotwelve,86,2700,58100000,0.0078,1900000000,690900,448300,Brazil
76,milliebobbybrown,80,280,57600000,0.0863,1100000000,4000000,5000000,United States
77,karimbenzema,42,2000,56900000,0.0162,1800000000,878500,918900,Spain
78,chrishemsworth,86,880,55900000,0.0369,2500000000,2800000,2100000,Australia
79,karolg,83,3300,55600000,0.1025,10100000000,3100000,5700000,India
80,paulpogba,80,1300,55200000,0.0085,1800000000,1400000,462600,France
81,iamzlatanibrahimovic,86,870,55100000,0.0153,1300000000,1500000,837100,Other
82,leonardodicaprio,86,1700,54600000,0.002,669300000,395500,107600,Other
83,juventus,87,10000,54500000,0.0025,1900000000,194800,135500,Other
84,zacefron,86,660,54500000,0.0818,1500000000,2300000,4400000,United States
85,bellahadid,79,3200,54100000,0.0206,3600000000,1100000,1100000,United Kingdom
86,tatawerneck,86,5600,53900000,0.0051,5400000000,959800,266500,Brazil
87,beingsalmankhan,76,1200,53500000,0.0133,1600000000,1400000,693900,India
88,robertdowneyjr,86,420,53400000,0.0205,1300000000,3000000,1100000,United States
